,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
9,80032   ,"VILLAGE OF LOUISVILLE, IL",Delivery Location,DPQ,1700,1700,335,1365,Z1B     ,N,D,IL      ,CLAY,Village of Louisville,N,T,653,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
10,80033   ,"VILLAGE OF CLAY CITY, IL",Delivery Location,DPQ,2000,2000,250,1750,Z1B     ,N,D,IL      ,CLAY,Village of Clay City,N,T,647,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
11,80034   ,XENIA - LIBERTY ENERGY (MIDSTATES),Delivery Location,DPQ,900,900,1,899,Z1B     ,N,D,IL      ,CLAY,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,643,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
12,80035   ,"CITY OF FLORA, IL",Delivery Location,DPQ,10000,10000,1378,8622,Z1B     ,N,D,IL      ,CLAY,"City of Flora, IL",N,T,643,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
13,80036   ,FLORA - ENABLE ENERGY MISSISSIPPI RIVER TRANSMISSION,Delivery Location,DPQ,200000,100000,6887,93113,Z1B     ,N,D,IL      ,CLAY,"Enable Mississippi River Transmission, LLC",Y,T,539,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
14,80037   ,"VILLAGE OF CISNE, IL",Delivery Location,DPQ,10000,10000,232,9768,Z1B     ,N,D,IL      ,WAYNE,Village of Cisne,N,T,539,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
15,80039   ,"VILLAGE OF JEFFERSONVILLE, IL",Delivery Location,DPQ,800,800,121,679,Z1B     ,N,D,IL      ,WAYNE,"Village of Jeffersonville, IL",N,T,628,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
16,80040   ,"CITY OF FAIRFIELD, IL",Delivery Location,DPQ,10000,10000,1308,8692,Z1B     ,N,D,IL      ,WAYNE,"City of Fairfield, IL",N,T,624,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
17,80041   ,"VILLAGE OF SIMS, IL",Delivery Location,DPQ,750,750,55,695,Z1B     ,N,D,IL      ,WAYNE,Village of Sims,N,T,623,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
18,80042   ,"VILLAGE OF BLUFORD, IL",Delivery Location,DPQ,1500,1500,1,1499,Z1B     ,N,D,IL      ,WAYNE,Village of Bluford,N,T,620,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
19,80043   ,"VILLAGE OF WAYNE CITY, IL",Delivery Location,DPQ,7500,7500,383,7117,Z1B     ,N,D,IL      ,WAYNE,Village of Wayne City,N,T,620,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
20,80044   ,"VILLAGE OF BELLE RIVE, IL",Delivery Location,DPQ,350,350,38,312,Z1B     ,N,D,IL      ,HAMILTON,Village of Belle Rive,N,T,610,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
21,80045   ,"VILLAGE OF DAHLGREN, IL",Delivery Location,DPQ,1500,1500,1,1499,Z1B     ,N,D,IL      ,HAMILTON,"Village of Dahlgren, IL",N,T,610,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
22,80046   ,"CITY OF MCLEANSBORO, IL",Delivery Location,DPQ,10000,10000,1158,8842,Z1B     ,N,D,IL      ,HAMILTON,"City of McLeansboro, IL",N,T,602,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
23,80048   ,"VILLAGE OF PITTSBURG, IL",Delivery Location,DPQ,380,380,86,294,Z1B     ,N,D,IL      ,WILLIAMSON,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,578,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
24,80052   ,"CITY OF VIENNA, IL",Delivery Location,DPQ,2000,2000,459,1541,Z1B     ,N,D,IL      ,JOHNSON,City of Vienna,N,T,552,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
25,80053   ,"VILLAGE OF KARNAK, IL",Delivery Location,DPQ,800,800,45,755,Z1B     ,N,D,IL      ,MASSAC,Village of Karnak,N,T,543,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
26,80055   ,"METROPOLIS, IL - LIBERTY ENERGY (MIDSTATES)",Delivery Location,DPQ,11100,11100,584,10516,Z1B     ,N,D,IL      ,MASSAC,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,539,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
27,80057   ,"CITY OF LA CENTER, KY",Delivery Location,DPQ,5000,5000,205,4795,Z1B     ,N,D,KY      ,BALLARD,"City of LA Center, Ky",N,T,528,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
28,80058   ,"CITY OF WICKLIFFE, KY",Delivery Location,DPQ,5000,5000,62,4938,Z1B     ,N,D,KY      ,BALLARD,City of Wickliffe,N,T,522,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
29,80059   ,"CITY OF BARDWELL, KY",Delivery Location,DPQ,5000,5000,68,4932,Z1B     ,N,D,KY      ,CARLISLE,City of Bardwell,N,T,515,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
30,80060   ,"CITY OF ARLINGTON, KY",Delivery Location,DPQ,5000,5000,67,4933,Z1B     ,N,D,KY      ,CARLISLE,City of Arlington,N,T,507,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
31,80061   ,"CITY OF CLINTON, KY",Delivery Location,DPQ,5000,5000,130,4870,Z1B     ,N,D,KY      ,HICKMAN,City of Clinton,N,T,499,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
32,80062   ,"CITY OF HICKMAN, KY",Delivery Location,DPQ,10000,10000,400,9600,Z1B     ,N,D,KY      ,FULTON,City of Hickman,N,T,488,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
33,80065   ,"TOWN OF TROY, TN",Delivery Location,DPQ,2000,2000,1,1999,Z1B     ,N,D,TN      ,OBION,Town of Troy,N,T,474,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
34,80066   ,"TOWN OF OBION, TN",Delivery Location,DPQ,5000,5000,100,4900,Z1B     ,N,D,TN      ,OBION,Town of Obion,N,T,470,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
35,80067   ,GIBSON COUNTY UTILITY DISTRICT,Delivery Location,DPQ,2000,2000,1,1999,Z1B     ,N,D,TN      ,DYER,Gibson County Utility District,N,T,458,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
36,80068   ,"TOWN OF NEWBERN, TN",Delivery Location,DPQ,10000,10000,499,9501,Z1B     ,N,D,TN      ,DYER,"Town of Newbern, Tennessee",N,T,458,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
37,80070   ,DYERSBURG - OUTLET - TEXAS GAS,Receipt Location,RPQ,150000,0,0,0,Z1A     ,N,R,TN      ,DYER,"Texas Gas Transmission, LLC",Y,T,445,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
38,80070   ,DYERSBURG - OUTLET - TEXAS GAS,Delivery Location,DPQ,150000,140000,20019,119981,Z1A     ,N,D,TN      ,DYER,"Texas Gas Transmission, LLC",Y,T,445,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
39,80072   ,"TOWN OF MASON, TN",Delivery Location,DPQ,2700,2700,181,2519,Z1A     ,N,D,TN      ,FAYETTE,Town of Mason,N,T,405,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
40,80075   ,"TOWN OF BYHALIA, MS",Delivery Location,DPQ,4800,4800,595,4205,Z1A     ,N,D,MS      ,MARSHALL,"Town of Byhalia, Mississippi",N,T,367,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
41,80079   ,"CRENSHAW, MS - ATMOS ENERGY",Delivery Location,DPQ,1610,1610,99,1511,Z1A     ,N,D,MS      ,PANOLA,Atmos Energy Corporation,N,T,330,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
42,80080   ,"PARCHMAN, MS - ENTEX",Delivery Location,DPQ,10000,10000,1,9999,Z1A     ,N,D,MS      ,SUNFLOWER,CenterPoint Energy Resources Corp.,N,T,287,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
43,80085   ,"KILBOURNE, LA - ATMOS ENERGY",Delivery Location,DPQ,300,300,20,280,Z1A     ,N,D,LA      ,WEST CARROLL,Atmos Energy Corporation,N,T,204,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
44,80097   ,E BEARHEAD CREEK FIELD - SWIFT ENERGY OPERATING ,Receipt Location,RPQ,5000,1050,0,1050,FLD     ,N,R,LA      ,BEAUREGARD,"Swift Energy Operating, LLC",N,T,-17,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
45,80100   ,S BEARHEAD CREEK FIELD - EXODUS ENERGY,Receipt Location,RPQ,5000,5000,262,4738,FLD     ,Y,R,LA      ,BEAUREGARD,Empire Louisiana LLC,N,T,-18,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
46,80117   ,NONA MILLS - PRIMROSE RESOURCES,Receipt Location,RPQ,5000,5000,1,4999,FLD     ,Y,R,TX      ,HARDIN,"Primrose Resources, LLC",N,T,-68,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
47,80145   ,IRR. TX - GAIL MORTON & SON,Delivery Location,DPQ,400,400,0,400,FLD     ,Y,D,TX      ,WHARTON,Dennis Morton Farms,N,T,-232,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
48,80151   ,IRR. TX - P.E. PEARSON,Delivery Location,DPQ,100,100,1,99,FLD     ,Y,D,TX      ,WHARTON,"Symmetry Energy Solutions, LLC",N,T,-229,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
49,80152   ,IRR. TX - GOFF FARMS,Delivery Location,DPQ,800,800,0,800,FLD     ,Y,D,TX      ,WHARTON,Goff Farms,N,T,-229,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
50,80153   ,IRR. TX - KEITH COX,Delivery Location,DPQ,200,200,1,199,FLD     ,Y,D,TX      ,JACKSON,"Symmetry Energy Solutions, LLC",N,T,-235,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
51,80161   ,TELFERNER FIELD - WEST,Receipt Location,RPQ,15000,15000,149,14851,FLD     ,N,R,TX      ,VICTORIA,Gulf Coast Energy Inc.,N,T,-261,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
52,80165   ,TERRELL POINT FIELD - RINCON PETROLEUM ,Receipt Location,RPQ,5000,5000,1,4999,FLD     ,N,R,TX      ,GOLIAD,"Top Op, LLC",N,T,-287,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
53,80179   ,WILLIAM H. WOOD - MEGO RESOURCES ,Receipt Location,RPQ,5000,5000,393,4607,FLD     ,N,R,TX      ,BEE,Mego Resources LLC,N,T,-319,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
54,80180   ,CE HEARD #1 - WELDER EXPLORATION & PRODUCTION ,Receipt Location,RPQ,10000,10000,0,10000,FLD     ,N,R,TX      ,BEE,"Welder Exploration & Production, Inc.",N,T,-319,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
55,80237   ,IRR. LA - ABIE FONTENOT,Delivery Location,DPQ,50,50,0,50,FLD     ,N,D,LA      ,JEFFERSON DAVIS,"Symmetry Energy Solutions, LLC",N,T,-22,N,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
56,80238   ,IRR. LA - LOUIS RICHARD,Delivery Location,DPQ,50,50,1,49,FLD     ,Y,D,LA      ,JEFFERSON DAVIS,"Symmetry Energy Solutions, LLC",N,T,-29,N,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
57,80240   ,IRR. LA - HARRY CLEMENT,Delivery Location,DPQ,80,80,1,79,FLD     ,Y,D,LA      ,JEFFERSON DAVIS,"Symmetry Energy Solutions, LLC",N,T,-37,N,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
58,80256   ,TENNESSEE @ CENTERVILLE,Delivery Location,DPQ,510000,510000,1,509999,FLD     ,Y,D,LA      ,ST MARY,"Tennessee Gas Pipeline Company, L.L.C.",Y,T,-133,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
59,80277   ,RAGLEY EXCHANGE - TRANSCO,Delivery Location,DPQ,735000,735000,45263,689737,FLD     ,Y,D,LA      ,BEAUREGARD,"Transcontinental Gas Pipe Line Company, LLC",Y,T,-11,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
60,80286   ,KAPLAN FIELD - TEXAS PETROLEUM INVESTMENT,Receipt Location,RPQ,15000,15000,0,15000,FLD     ,N,R,LA      ,VERMILION,Texas Petroleum Investment Company,N,T,-72,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
61,80291   ,SW ESTHER FIELD - MOSBACHER,Receipt Location,RPQ,9200,9200,0,9200,FLD     ,N,R,LA      ,VERMILION,Mosbacher Energy Company,N,T,-81,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
62,80368   ,PATTERSON - ANR,Receipt Location,RPQ,100000,100000,1,99999,FLD     ,Y,R,LA      ,ST MARY,ANR Pipeline Company,Y,T,-141,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
63,80415   ,EAST BERNARD FIELD - MARWELL,Receipt Location,RPQ,5000,5000,20,4980,FLD     ,Y,R,TX      ,WHARTON,"Marwell Petroleum, Inc.",N,T,-194,N,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
64,80442   ,GULF SOUTH PIPELINE @ CENTERVILLE,Delivery Location,DPQ,700000,0,0,0,FLD     ,N,D,LA      ,ST MARY,"Gulf South Pipeline Company, L.P.",Y,T,-133,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
65,80443   ,IRR. TX - GOFF FARMS #2,Delivery Location,DPQ,300,300,0,300,FLD     ,Y,D,TX      ,WHARTON,Goff Farms,N,T,-232,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
66,80451   ,#1 FOX MALONE - JR THOMPSON,Receipt Location,RPQ,1000,1000,0,1000,FLD     ,N,R,TX      ,BEE,"Lytle Creek Operating, Inc.",N,T,-310,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
67,80482   ,LNG AT LAKE CHARLES - TGC,Receipt Location,RPQ,2100000,1800000,1,1799999,FLD     ,N,R,LA      ,CALCASIEU,"Lake Charles LNG Company, LLC",Y,T,-23,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
68,80482   ,LNG AT LAKE CHARLES - TGC,Delivery Location,DPQ,2100000,1800000,0,1800000,FLD     ,N,D,LA      ,CALCASIEU,"Lake Charles LNG Company, LLC",Y,T,-23,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
69,80488   ,ENLINK LIG @ PATTERSON,Delivery Location,DPQ,170000,170000,1567,168433,FLD     ,Y,D,LA      ,ST MARY,"EnLink LIG, LLC",Y,T,-140,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
70,80497   ,IRR. TX - GAIL MORTON FARMS #2,Delivery Location,DPQ,100,100,1,99,FLD     ,Y,D,TX      ,WHARTON,"Symmetry Energy Solutions, LLC",N,T,-229,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
71,80566   ,COW ISLAND PLANT,Receipt Location,RPQ,25000,25000,950,24050,FLD     ,Y,R,LA      ,VERMILION,"Trunkline Gas Company, LLC",N,T,-81,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
72,80578   ,BRIDGELINE @ PATTERSON - BRIDGELINE,Delivery Location,DPQ,250000,225000,93759,131241,FLD     ,Y,D,LA      ,ST MARY,"Bridgeline Holdings, L.P.",Y,T,-140,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
73,80588   ,GULF COAST ENERGY,Receipt Location,RPQ,5000,5000,0,5000,FLD     ,N,R,TX      ,GOLIAD,Gulf Coast Energy Inc.,N,T,-304,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
74,80601   ,CHAMPAIGN TRANSPORT - PEOPLES,Delivery Location,DPQ,270000,100000,5001,94999,Z-2     ,N,D,IL      ,CHAMPAIGN,Peoples Gas Light and Coke Company (The),Y,T,750,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
75,80706   ,ACADIAN - TRUNKLINE INTERCONNECT,Delivery Location,DPQ,200000,150000,14838,135162,FLD     ,Y,D,LA      ,ST MARY,Acadian Gas Pipeline System,Y,T,-133,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
76,80710   ,WOODLAWN INTERCONNECT - TEXAS GAS,Delivery Location,DPQ,125000,125000,1,124999,FLD     ,N,D,LA      ,CALCASIEU,"Texas Gas Transmission, LLC",Y,T,-24,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
77,80711   ,TENNESSEE @ KAPLAN - TENNESSEE GAS,Delivery Location,DPQ,500000,0,0,0,FLD     ,N,D,LA      ,JEFFERSON DAVIS,"Tennessee Gas Pipeline Company, L.L.C.",Y,T,-32,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
78,80715   ,SABINE @ LAKE CHARLES - SABINE PIPELINE,Delivery Location,DPQ,200000,200000,1,199999,FLD     ,N,D,LA      ,CALCASIEU,Sabine Pipe Line LLC,Y,T,-23,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
79,80717   ,TGC @ HENRY HUB - JEFFERSON ISLAND STORAGE & HUB ,Receipt Location,RPQ,250000,250000,0,250000,FLD     ,N,R,LA      ,VERMILION,Jefferson Island Storage & Hub L.L.C.,Y,T,-91,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
80,80717   ,TGC @ HENRY HUB - JEFFERSON ISLAND STORAGE & HUB ,Delivery Location,DPQ,250000,250000,1,249999,FLD     ,N,D,LA      ,VERMILION,Jefferson Island Storage & Hub L.L.C.,Y,T,-91,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
81,80719   ,OBION ETHANOL PLANT - GREEN PLAINS OBION,Delivery Location,DPQ,10800,10800,9493,1307,Z1B     ,N,D,TN      ,OBION,Green Plains Obion LLC,N,T,471,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
82,80721   ,HENRY HUB HIGH PRESSURE - TGC - SABINE ,Receipt Location,RPQ,500000,0,0,0,FLD     ,N,R,LA      ,VERMILION,Sabine Pipe Line LLC,Y,T,-91,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
83,80721   ,HENRY HUB HIGH PRESSURE - TGC - SABINE ,Delivery Location,DPQ,500000,0,0,0,FLD     ,N,D,LA      ,VERMILION,Sabine Pipe Line LLC,Y,T,-91,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
84,80726   ,LAGLORIA DELIVERY - DCP OPERATING,Delivery Location,DPQ,80000,80000,9987,70013,FLD     ,N,D,TX      ,JIM WELLS,"DCP Operating Company, LP",N,T,-401,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
85,80727   ,EAGLE PLANT INLET - TGC DELIVERY - DCP OPERATING,Delivery Location,DPQ,221000,221000,221000,0,FLD     ,N,D,TX      ,JACKSON,"DCP Operating Company, LP",N,T,-238,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
86,80734   ,LAKE CHARLES INTERCONNECT - CENTERPOINT ENERGY RESOURCES,Delivery Location,DPQ,22000,22000,1,21999,FLD     ,N,D,LA      ,CALCASIEU,"CenterPoint Energy Resources Corp., DBA CenterPoint Energy Louisiana Gas",N,T,-23,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
87,80735   ,EAGLE PLANT RESIDUE - DCP OPERATING,Receipt Location,RPQ,192000,192000,1,191999,FLD     ,Y,R,TX      ,JACKSON,"DCP Operating Company, LP",Y,T,-239,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
88,80738   ,JIMMY DEAN PLANT,Delivery Location,DPQ,3000,3000,348,2652,Z1B     ,Y,D,TN      ,DYER,"D2 Energy, LLC",N,T,458,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
89,80743   ,KINDER SAND DRYING PLANT,Delivery Location,DPQ,1000,1000,99,901,FLD     ,N,D,LA      ,ALLEN,"MineralTech Gulfcoast Abrasives, LLC",N,T,-15,Y,N,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
90,80744   ,KATY - HOUSTON PIPELINE DELIVERY,Delivery Location,DPQ,45000,45000,1,44999,FLD     ,N,D,TX      ,WALLER,Houston Pipe Line Company LP,Y,T,-171,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
91,81506   ,HARKINS-KOONTZ - CIMAREX ENERGY ,Receipt Location,RPQ,5175,5175,0,5175,FLD     ,N,R,TX      ,GOLIAD,Cimarex Energy Co.,N,T,-303,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
92,81514   ,SE AVERY ISLAND - TEXAS PETROLEUM,Receipt Location,RPQ,5000,5000,0,5000,FLD     ,N,R,LA      ,IBERIA,Texas Petroleum Investment Company,N,T,-107,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
93,81523   ,KATY - HOUSTON PIPELINE RECEIPT,Receipt Location,RPQ,75000,75000,1,74999,FLD     ,N,R,TX      ,WALLER,Houston Pipe Line Company LP,Y,T,-171,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
94,81526   ,WHARTON CO - ENTERPRISE TEXAS PIPELINE ,Receipt Location,RPQ,325000,300000,1,299999,FLD     ,Y,R,TX      ,WHARTON,Enterprise Texas Pipeline LLC,Y,T,-217,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
95,81560   ,EMER. SALE - LEWIS OPERATING,Delivery Location,DPQ,5000,5000,42,4958,FLD     ,Y,D,LA      ,BEAUREGARD,Lewis Operating Company,N,T,-7,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
96,81568   ,TEXAS GAS @ CENTERVILLE,Delivery Location,DPQ,235000,235000,1,234999,FLD     ,N,D,LA      ,ST MARY,"Texas Gas Transmission, LLC",Y,T,-133,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
97,81570   ,TURKEY CREEK - PETROLEUM FUELS,Receipt Location,RPQ,15000,15000,0,15000,FLD     ,N,R,TX      ,GOLIAD,Petroleum Fuels Co.,N,T,-287,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
98,81582   ,LAGLORIA - OUTLET - DCP OPERATING,Receipt Location,RPQ,115000,115000,0,115000,FLD     ,N,R,TX      ,JIM WELLS,"DCP Operating Company, LP",N,T,-401,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
99,81701   ,KINDER TOTAL MEASURED,Receipt Location,RPQ,600000,600000,1,599999,FLD     ,Y,R,LA      ,JEFFERSON DAVIS,"Tennessee Gas Pipeline Company, L.L.C.",Y,T,-21,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
100,81716   ,PATTERSON @ ANR,Delivery Location,DPQ,50000,0,0,0,FLD     ,Y,D,LA      ,ST MARY,ANR Pipeline Company,Y,T,-141,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
101,81717   ,TETCO (BEAUREGARD PARISH) ,Delivery Location,DPQ,250000,0,0,0,FLD     ,N,D,LA      ,BEAUREGARD,"Texas Eastern Transmission, LP",Y,T,-10,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
102,81718   ,LAKESIDE - NGPL,Receipt Location,RPQ,500000,500000,68,499932,FLD     ,Y,R,LA      ,CAMERON,Natural Gas Pipeline Company of America,Y,T,-48,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
103,81720   ,OLLA - GULF SOUTH,Receipt Location,RPQ,700000,700000,49114,650886,Z1A     ,Y,R,LA      ,LA SALLE,"Gulf South Pipeline Company, L.P.",Y,T,104,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
104,81720   ,OLLA - GULF SOUTH,Delivery Location,DPQ,700000,700000,0,700000,Z1A     ,Y,D,LA      ,LA SALLE,"Gulf South Pipeline Company, L.P.",Y,T,104,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
105,81722   ,COLUMBIA GULF TRANSMISSION @ CENTERVILLE,Delivery Location,DPQ,380000,295000,1,294999,FLD     ,N,D,LA      ,ST MARY,"Columbia Gulf Transmission, LLC",Y,T,-133,Y,Y,Y,,Intraday%201-2021-01-26-7933062,2021-01-26 21:57:18.308804,7933062
